movie_id,title,genres,overview
1,The Shawshank Redemption,Drama,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.
2,The Godfather,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3,The Dark Knight,Action|Crime|Drama,Batman must face the Joker a criminal mastermind who seeks to create chaos in Gotham City.
4,Inception,Action|Sci-Fi|Thriller,A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea.
5,Forrest Gump,Drama|Romance,The presidencies of Kennedy and Johnson the Vietnam War and other historical events unfold from the perspective of an Alabama man.
6,The Matrix,Action|Sci-Fi,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
7,Interstellar,Adventure|Drama|Sci-Fi,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
8,Pulp Fiction,Crime|Drama,The lives of two mob hitmen a boxer and a pair of diner bandits intertwine in four tales of violence and redemption.
9,Fight Club,Drama,An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much more.
10,The Lord of the Rings,Adventure|Fantasy,A meek Hobbit and his companions set out on a journey to destroy a powerful ring and save Middle-earth from the Dark Lord.
