movie_id,title,genres,overview
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,A cowboy doll is profoundly threatened when a new spaceman action figure supplants him as top toy in a boy's bedroom.
2,Jumanji (1995),Adventure|Children|Fantasy,"When a Roman General is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge."
3,Grumpier Old Men (1995),Comedy|Romance,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
4,Waiting to Exhale (1995),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
5,Father of the Bride Part II (1995),Comedy,A Comedy film.
6,Heat (1995),Action|Crime|Thriller,A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea.
7,Sabrina (1995),Comedy|Romance,"The lives of two mob hitmen, a boxer, a gangster and his wife intertwine in four tales of violence and redemption."
8,Tom and Huck (1995),Adventure|Children,A Adventure and Children film.
9,Sudden Death (1995),Action,A Action film.
10,GoldenEye (1995),Action|Adventure|Thriller,A Action and Adventure and Thriller film.
11,"American President, The (1995)",Comedy|Drama|Romance,A Comedy and Drama and Romance film.
12,Dracula: Dead and Loving It (1995),Comedy|Horror,A Comedy and Horror film.
13,Balto (1995),Adventure|Animation|Children,A Adventure and Animation and Children film.
14,Nixon (1995),Drama,A Drama film.
15,Cutthroat Island (1995),Action|Adventure|Romance,A Action and Adventure and Romance film.
16,Casino (1995),Crime|Drama,A Crime and Drama film.
17,Sense and Sensibility (1995),Drama|Romance,A Drama and Romance film.
18,Four Rooms (1995),Comedy,A Comedy film.
19,Ace Ventura: When Nature Calls (1995),Comedy,A Comedy film.
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,A Action and Comedy and Crime and Drama and Thriller film.
21,Get Shorty (1995),Comedy|Crime|Thriller,A Comedy and Crime and Thriller film.
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,A Crime and Drama and Horror and Mystery and Thriller film.
23,Assassins (1995),Action|Crime|Thriller,A Action and Crime and Thriller film.
24,Powder (1995),Drama|Sci-Fi,A Drama and Sci-Fi film.
25,Leaving Las Vegas (1995),Drama|Romance,A Drama and Romance film.
26,Othello (1995),Drama,A Drama film.
27,Now and Then (1995),Children|Drama,A Children and Drama film.
28,Persuasion (1995),Drama|Romance,A Drama and Romance film.
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,A Adventure and Drama and Fantasy and Mystery and Sci-Fi film.
